Group Email [Required],Member Email,Member Type,Member Role
sdsallstudents@rku.ac.in,director.sds@rku.ac.in,USER,OWNER
ce.sds.students@rku.ac.in,director.sds@rku.ac.in,USER,OWNER
cv.sds.students@rku.ac.in,director.sds@rku.ac.in,USER,OWNER
ee.sds.students@rku.ac.in,director.sds@rku.ac.in,USER,OWNER
me.sds.students@rku.ac.in,director.sds@rku.ac.in,USER,OWNER
rkuallstudents@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
soeallstudents@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
ag.soe.students@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
ce.soe.students@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
ct.soe.students@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
cv.soe.students@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
ee.soe.students@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
fotallstudents@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
it.soe.students@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
me.soe.students@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
mtech.soe.students@rku.ac.in,director.soe@rku.ac.in,USER,OWNER
