Group Email [Required],Member Email,Member Type,Member Role
fmdallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
sopallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
sosallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
sptallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
fmdallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
somallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
sasallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
achallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
sdsallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
ce.sds.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
cv.sds.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
ee.sds.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
me.sds.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
rkuallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
soeallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
ag.soe.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
ce.soe.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
ct.soe.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
cv.soe.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
ee.soe.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
fotallstudents@rku.ac.in,fees@rku.ac.in,USER,OWNER
it.soe.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
me.soe.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
mtech.soe.students@rku.ac.in,fees@rku.ac.in,USER,OWNER
