Group Email [Required],Member Email,Member Type,Member Role
sopnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
sosnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
sptnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
achnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
hchnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
rkuadmin@rku.ac.in,hr@rku.ac.in,USER,OWNER
rkuitservices@rku.ac.in,hr@rku.ac.in,USER,OWNER
rkulibrary@rku.ac.in,hr@rku.ac.in,USER,OWNER
sasnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
scsnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
sdsnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
sodnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
soenonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
somnonteaching@rku.ac.in,hr@rku.ac.in,USER,OWNER
,,,
,,,
